"Fecha","Prediccion"
2018-01-01,0
2018-01-02,126.028745031876
2018-01-03,224.917814210998
2018-01-04,351.040838863428
2018-01-05,507.453273045068
2018-01-06,124.851564408267
2018-01-07,0
2018-01-08,0
2018-01-09,598.612114462117
2018-01-10,701.551645800242
2018-01-11,767.044064783141
2018-01-12,845.609307152677
2018-01-13,266.870470722961
2018-01-14,0
2018-01-15,672.068206002895
2018-01-16,831.203949201936
2018-01-17,861.182573813805
2018-01-18,884.698614904784
2018-01-19,870.32400577687
2018-01-20,238.242355170915
2018-01-21,0
2018-01-22,607.579294910261
2018-01-23,756.557210209163
2018-01-24,794.551460182685
2018-01-25,849.296143308794
2018-01-26,866.802594625593
2018-01-27,271.646019612574
2018-01-28,0
2018-01-29,762.888778617217
2018-01-30,1183.16108895528
2018-01-31,1653.31439546465
2018-02-01,593.570321654855
2018-02-02,659.78994811956
2018-02-03,155.678604110434
2018-02-04,0
2018-02-05,563.446913554091
2018-02-06,709.726108722844
2018-02-07,776.427466242087
2018-02-08,817.56559597715
2018-02-09,814.523702801237
2018-02-10,198.187416492528
2018-02-11,0
2018-02-12,631.171059522464
2018-02-13,761.506937108736
2018-02-14,793.895020267175
2018-02-15,800.177657994774
2018-02-16,786.711857332346
2018-02-17,181.829277617614
2018-02-18,0
2018-02-19,623.866233379002
2018-02-20,757.62815906657
2018-02-21,826.16641524081
2018-02-22,837.961367667515
2018-02-23,861.97172278842
2018-02-24,244.504069440329
2018-02-25,0
2018-02-26,739.903876929789
2018-02-27,1198.8121044298
2018-02-28,1404.40818607856
2018-03-01,564.618861605493
2018-03-02,629.655294041354
2018-03-03,138.046474956002
2018-03-04,0
2018-03-05,617.631656524529
2018-03-06,746.172206224585
2018-03-07,804.693851050294
2018-03-08,840.10866826239
2018-03-09,840.955363551588
2018-03-10,210.975728903603
2018-03-11,0
2018-03-12,675.227326251442
2018-03-13,816.852913768052
2018-03-14,896.563920365717
2018-03-15,887.881139737933
2018-03-16,877.272222774018
2018-03-17,184.122713834685
2018-03-18,0
2018-03-19,0
2018-03-20,713.233692466292
2018-03-21,788.927965006957
2018-03-22,836.52968848401
2018-03-23,882.728217995993
2018-03-24,210.026893499186
2018-03-25,0
2018-03-26,701.705495960082
2018-03-27,898.787222401488
2018-03-28,1086.77784439157
2018-03-29,0
2018-03-30,0
2018-03-31,782.550803630794
2018-04-01,0
2018-04-02,386.092039535855
2018-04-03,583.210814258494
2018-04-04,723.451062535484
2018-04-05,815.403412253049
2018-04-06,886.121553358958
2018-04-07,230.429828408542
2018-04-08,0
2018-04-09,604.571916065864
2018-04-10,794.461315552179
2018-04-11,815.309897701296
2018-04-12,800.409687600204
2018-04-13,848.579976849626
2018-04-14,143.37653752541
2018-04-15,0
2018-04-16,587.202058591276
2018-04-17,663.207878062898
2018-04-18,746.818206913786
2018-04-19,769.745632355576
2018-04-20,807.414193652144
2018-04-21,149.805125897711
2018-04-22,0
2018-04-23,631.491571804492
2018-04-24,851.080464126643
2018-04-25,1017.25826978997
2018-04-26,1098.6599115886
2018-04-27,1364.72036673905
2018-04-28,631.898706817139
2018-04-29,0
2018-04-30,1188.51008191955
2018-05-01,0
2018-05-02,526.039822013479
2018-05-03,650.044352054859
2018-05-04,744.029253007213
2018-05-05,179.86873493978
2018-05-06,0
2018-05-07,581.339880275577
2018-05-08,697.522014538026
2018-05-09,825.141444268971
2018-05-10,844.72647805926
2018-05-11,839.857562031846
2018-05-12,209.709754619164
2018-05-13,0
2018-05-14,0
2018-05-15,742.224421389886
2018-05-16,805.039247048241
2018-05-17,840.975626768567
2018-05-18,835.351343778293
2018-05-19,215.941440816504
2018-05-20,0
2018-05-21,618.921672183511
2018-05-22,768.598192271447
2018-05-23,876.639839729513
2018-05-24,966.642164768738
2018-05-25,1028.15611753122
2018-05-26,309.689254876987
2018-05-27,0
2018-05-28,796.300481850752
2018-05-29,1043.67268688929
2018-05-30,1533.13467890227
2018-05-31,1928.06158478005
2018-06-01,540.603435552668
2018-06-02,113.410713068655
2018-06-03,0
2018-06-04,0
2018-06-05,627.739822794106
2018-06-06,749.488981866491
2018-06-07,765.845023430832
2018-06-08,802.279032834086
2018-06-09,190.012048758034
2018-06-10,0
2018-06-11,0
2018-06-12,715.49585417563
2018-06-13,819.787616097074
2018-06-14,821.068842361993
2018-06-15,811.830894028265
2018-06-16,202.76368362326
2018-06-17,0
2018-06-18,622.466335073689
2018-06-19,707.320882334318
2018-06-20,830.259009500497
2018-06-21,883.557977908499
2018-06-22,915.103812126461
2018-06-23,226.893738130027
2018-06-24,0
2018-06-25,692.665873291299
2018-06-26,848.13219004869
2018-06-27,1076.26081318211
2018-06-28,1301.78735667989
2018-06-29,1702.86100945684
2018-06-30,1054.87622829039
2018-07-01,0
2018-07-02,0
2018-07-03,403.035322988791
2018-07-04,570.791621817036
2018-07-05,670.044827160606
2018-07-06,755.092876447351
2018-07-07,171.855212091113
2018-07-08,0
2018-07-09,617.510443128738
2018-07-10,721.47181464197
2018-07-11,795.395822803702
2018-07-12,808.413277194606
2018-07-13,864.30030170983
2018-07-14,201.74608356564
2018-07-15,0
2018-07-16,639.947840983573
2018-07-17,758.487499638832
2018-07-18,828.615704234307
2018-07-19,858.575226040718
2018-07-20,0
2018-07-21,205.181398028674
2018-07-22,0
2018-07-23,651.856228805139
2018-07-24,858.966300135933
2018-07-25,1024.6719463728
2018-07-26,1095.56253169367
2018-07-27,1209.30971006406
2018-07-28,425.970544022966
2018-07-29,0
2018-07-30,1207.09342674431
2018-07-31,1831.82884774276
